"Survived","Pclass","Sex","Age","SibSp","Parch"
"1","M","3","male","joven","pareja","sin_padres"
"2","S","1","female","adulto","pareja","sin_padres"
"3","S","3","female","joven","solo","sin_padres"
"4","S","1","female","adulto","pareja","sin_padres"
"5","M","3","male","adulto","solo","sin_padres"
"6","M","3","male","joven","solo","sin_padres"
"7","M","1","male","adulto_mayor","solo","sin_padres"
"8","M","3","male","menor","pocos_hermanos","con_padres"
"9","S","3","female","joven","solo","con_padres"
"10","S","2","female","menor","pareja","sin_padres"
"11","S","3","female","menor","pareja","con_padres"
"12","S","1","female","adulto_mayor","solo","sin_padres"
"13","M","3","male","joven","solo","sin_padres"
"14","M","3","male","adulto","pareja","con_hijos"
"15","M","3","female","menor","solo","sin_padres"
"16","S","2","female","adulto_mayor","solo","sin_padres"
"17","M","3","male","menor","muchos_hermanos","con_padres"
"18","S","2","male","adulto","solo","sin_padres"
"19","M","3","female","adulto","pareja","sin_padres"
"20","S","3","female","joven","solo","sin_padres"
"21","M","2","male","adulto","solo","sin_padres"
"22","S","2","male","adulto","solo","sin_padres"
"23","S","3","female","joven","solo","sin_padres"
"24","S","1","male","joven","solo","sin_padres"
"25","M","3","female","menor","pocos_hermanos","con_padres"
"26","S","3","female","adulto","pareja","con_hijos"
"27","M","3","male","joven","solo","sin_padres"
"28","M","1","male","joven","pocos_hermanos","con_padres"
"29","S","3","female","joven","solo","sin_padres"
"30","M","3","male","joven","solo","sin_padres"
"31","M","1","male","adulto","solo","sin_padres"
"32","S","1","female","adulto","pareja","sin_padres"
"33","S","3","female","joven","solo","sin_padres"
"34","M","2","male","adulto_mayor","solo","sin_padres"
"35","M","1","male","joven","pareja","sin_padres"
"36","M","1","male","adulto","pareja","sin_padres"
"37","S","3","male","joven","solo","sin_padres"
"38","M","3","male","joven","solo","sin_padres"
"39","M","3","female","joven","pocos_hermanos","sin_padres"
"40","S","3","female","menor","pareja","sin_padres"
"41","M","3","female","adulto","pareja","sin_padres"
"42","M","2","female","joven","pareja","sin_padres"
"43","M","3","male","joven","solo","sin_padres"
"44","S","2","female","menor","pareja","con_padres"
"45","S","3","female","joven","solo","sin_padres"
"46","M","3","male","joven","solo","sin_padres"
"47","M","3","male","joven","pareja","sin_padres"
"48","S","3","female","joven","solo","sin_padres"
"49","M","3","male","joven","pocos_hermanos","sin_padres"
"50","M","3","female","joven","pareja","sin_padres"
"51","M","3","male","menor","muchos_hermanos","con_padres"
"52","M","3","male","joven","solo","sin_padres"
"53","S","1","female","adulto_mayor","pareja","sin_padres"
"54","S","2","female","adulto","pareja","sin_padres"
"55","M","1","male","adulto_mayor","solo","con_padres"
"56","S","1","male","adulto","solo","sin_padres"
"57","S","2","female","joven","solo","sin_padres"
"58","M","3","male","joven","solo","sin_padres"
"59","S","2","female","menor","pareja","con_padres"
"60","M","3","male","menor","muchos_hermanos","con_padres"
"61","M","3","male","joven","solo","sin_padres"
"62","S","1","female","adulto","solo","sin_padres"
"63","M","1","male","adulto_mayor","pareja","sin_padres"
"64","M","3","male","menor","pocos_hermanos","con_padres"
"65","M","1","male","adulto_mayor","solo","sin_padres"
"66","S","3","male","menor","pareja","con_padres"
"67","S","2","female","adulto","solo","sin_padres"
"68","M","3","male","joven","solo","sin_padres"
"69","S","3","female","joven","muchos_hermanos","con_padres"
"70","M","3","male","joven","pocos_hermanos","sin_padres"
"71","M","2","male","adulto","solo","sin_padres"
"72","M","3","female","joven","muchos_hermanos","con_padres"
"73","M","2","male","joven","solo","sin_padres"
"74","M","3","male","joven","pareja","sin_padres"
"75","S","3","male","adulto","solo","sin_padres"
"76","M","3","male","joven","solo","sin_padres"
"77","M","3","male","joven","solo","sin_padres"
"78","M","3","male","joven","solo","sin_padres"
"79","S","2","male","menor","solo","con_padres"
"80","S","3","female","adulto","solo","sin_padres"
"81","M","3","male","joven","solo","sin_padres"
"82","S","3","male","adulto","solo","sin_padres"
"83","S","3","female","joven","solo","sin_padres"
"84","M","1","male","joven","solo","sin_padres"
"85","S","2","female","joven","solo","sin_padres"
"86","S","3","female","adulto","pocos_hermanos","sin_padres"
"87","M","3","male","joven","pareja","con_hijos"
"88","M","3","male","joven","solo","sin_padres"
"89","S","1","female","joven","pocos_hermanos","con_padres"
"90","M","3","male","joven","solo","sin_padres"
"91","M","3","male","adulto","solo","sin_padres"
"92","M","3","male","joven","solo","sin_padres"
"93","M","1","male","adulto_mayor","pareja","sin_padres"
"94","M","3","male","joven","pareja","con_padres"
"95","M","3","male","adulto_mayor","solo","sin_padres"
"96","M","3","male","joven","solo","sin_padres"
"97","M","1","male","adulto_mayor","solo","sin_padres"
"98","S","1","male","joven","solo","con_padres"
"99","S","2","female","adulto","solo","con_padres"
"100","M","2","male","adulto","pareja","sin_padres"
"101","M","3","female","joven","solo","sin_padres"
"102","M","3","male","joven","solo","sin_padres"
"103","M","1","male","joven","solo","con_padres"
"104","M","3","male","adulto","solo","sin_padres"
"105","M","3","male","adulto","pocos_hermanos","sin_padres"
"106","M","3","male","joven","solo","sin_padres"
"107","S","3","female","joven","solo","sin_padres"
"108","S","3","male","joven","solo","sin_padres"
"109","M","3","male","adulto","solo","sin_padres"
"110","S","3","female","joven","pareja","sin_padres"
"111","M","1","male","adulto_mayor","solo","sin_padres"
"112","M","3","female","menor","pareja","sin_padres"
"113","M","3","male","joven","solo","sin_padres"
"114","M","3","female","joven","pareja","sin_padres"
"115","M","3","female","joven","solo","sin_padres"
"116","M","3","male","joven","solo","sin_padres"
"117","M","3","male","adulto_mayor","solo","sin_padres"
"118","M","2","male","adulto","pareja","sin_padres"
